....helium3d scene converter utility (.3ds to .scene)
....helium3d (c) 2000-2001 acid.z51
....usage: he3d_3ds2scene in.3ds out.scene [scale]
....usage: he3d_3ds2scene in.3ds -extract meshname [outfilename]

....loading rotacja.3DS file
....material MATERIAL #1 loaded
....mesh BOX117 loaded
....mesh BOX24 loaded
....mesh BOX25 loaded
....mesh BOX26 loaded
....mesh BOX27 loaded
....mesh BOX28 loaded
....mesh BOX29 loaded
....mesh BOX30 loaded
....mesh BOX32 loaded
....mesh BOX33 loaded
....mesh BOX34 loaded
....mesh BOX37 loaded
....mesh BOX39 loaded
....mesh BOX40 loaded
....mesh BOX41 loaded
....mesh BOX48 loaded
....mesh BOX49 loaded
....mesh BOX50 loaded
....mesh BOX52 loaded
....mesh BOX53 loaded
....mesh BOX54 loaded
....mesh BOX55 loaded
....mesh BOX56 loaded
....mesh BOX57 loaded
....mesh BOX58 loaded
....mesh BOX83 loaded
....mesh BOX84 loaded
....mesh BOX85 loaded
....mesh BOX86 loaded
....mesh BOX87 loaded
....mesh BOX88 loaded
....mesh BOX89 loaded
....mesh BOX92 loaded
....mesh BOX105 loaded
....mesh BOX106 loaded
....mesh BOX107 loaded
....mesh BOX108 loaded
....mesh BOX115 loaded
....mesh BOX116 loaded
....mesh BOX21 loaded
....mesh BOX118 loaded
....mesh BOX119 loaded
....mesh BOX120 loaded
....mesh BOX121 loaded
....mesh BOX122 loaded
....mesh BOX123 loaded
....mesh BOX124 loaded
....mesh BOX125 loaded
....mesh BOX126 loaded
....mesh BOX127 loaded
....mesh BOX128 loaded
....mesh BOX129 loaded
....mesh BOX130 loaded
....mesh BOX131 loaded
....mesh BOX132 loaded
....mesh BOX133 loaded
....mesh BOX134 loaded
....mesh BOX135 loaded
....mesh BOX136 loaded
....mesh BOX137 loaded
....mesh BOX138 loaded
....mesh BOX139 loaded
....mesh BOX140 loaded
....mesh BOX146 loaded
....mesh BOX147 loaded
....mesh BOX148 loaded
....mesh BOX149 loaded
....mesh BOX156 loaded
....mesh BOX157 loaded
....mesh BOX63 loaded
