
....loading scene.3ds file
....material PUSTYNIA loaded
....material ZIEMIA loaded
....material DACH loaded
....material KRZAK loaded
....material DONICA loaded
....material BECZKA01 loaded
....material SKRZYNIA loaded
....material OKNO02 loaded
....material OKNO loaded
....material SCIANA02 loaded
....material TRIM loaded
....material SCIANA01 loaded
....material NIEBO loaded
....mesh ZIEMIA loaded
....mesh ZIEMIAA loaded
....mesh ZIEMIAA01 loaded
....mesh KRZAK01 loaded
....mesh DONICA loaded
....mesh KRZAK02 loaded
....mesh DONICA01 loaded
....mesh KRZAK03 loaded
....mesh DONICA02 loaded
....mesh KRZAK05 loaded
....mesh DONICA04 loaded
....mesh KRZAK06 loaded
....mesh DONICA05 loaded
....mesh KRZAK07 loaded
....mesh DONICA06 loaded
....mesh KRZAK08 loaded
....mesh DONICA07 loaded
....mesh KRZAK09 loaded
....mesh DONICA08 loaded
....mesh KRZAK10 loaded
....mesh DONICA09 loaded
....mesh KRZAK11 loaded
....mesh DONICA10 loaded
....mesh BECZKA01 loaded
....mesh BECZKA02 loaded
....mesh BECZKA03 loaded
....mesh BECZKA04 loaded
....mesh BECZKA05 loaded
....mesh BECZKA06 loaded
....mesh SKRZYNIA01 loaded
....mesh SKRZYNIA02 loaded
....mesh SKRZYNIA03 loaded
....mesh SKRZYNIA04 loaded
....mesh SKRZYNIA05 loaded
....mesh SKRZYNIA06 loaded
....mesh SKRZYNIA07 loaded
....mesh SKRZYNIA08 loaded
....mesh SKRZYNIA09 loaded
....mesh SKRZYNIA10 loaded
....mesh SKRZYNIA11 loaded
....mesh SKRZYNIA12 loaded
....mesh SKRZYNIA13 loaded
....mesh SKRZYNIA14 loaded
....mesh SKRZYNIA15 loaded
....mesh SKRZYNIA16 loaded
....mesh SKRZYNIA17 loaded
....mesh SKRZYNIA18 loaded
....mesh SKRZYNIA19 loaded
....mesh SKRZYNIA20 loaded
....mesh OKNO01 loaded
....mesh OKNO02 loaded
....mesh BOX249 loaded
....mesh BOX248 loaded
....mesh BOX247 loaded
....mesh BOX246 loaded
....mesh BOX245 loaded
....mesh PLANE49 loaded
....mesh BOX239 loaded
....mesh BOX238 loaded
....mesh BOX237 loaded
....mesh BOX236 loaded
....mesh BOX235 loaded
....mesh PLANE47 loaded
....mesh BOX234 loaded
....mesh BOX233 loaded
....mesh BOX232 loaded
....mesh BOX231 loaded
....mesh BOX230 loaded
....mesh PLANE46 loaded
....mesh BOX229 loaded
....mesh BOX228 loaded
....mesh BOX227 loaded
....mesh BOX226 loaded
....mesh BOX225 loaded
....mesh PLANE45 loaded
....mesh BOX224 loaded
....mesh BOX223 loaded
....mesh BOX222 loaded
....mesh BOX221 loaded
....mesh BOX220 loaded
....mesh PLANE44 loaded
....mesh BOX214 loaded
....mesh BOX213 loaded
....mesh BOX212 loaded
....mesh BOX211 loaded
....mesh BOX210 loaded
....mesh PLANE42 loaded
....mesh BOX209 loaded
....mesh BOX208 loaded
....mesh BOX207 loaded
....mesh BOX206 loaded
....mesh BOX205 loaded
....mesh PLANE41 loaded
....mesh BOX204 loaded
....mesh BOX203 loaded
....mesh BOX202 loaded
....mesh BOX201 loaded
....mesh BOX200 loaded
....mesh PLANE40 loaded
....mesh BOX256 loaded
....mesh BOX255 loaded
....mesh BOX254 loaded
....mesh BOX253 loaded
....mesh BOX252 loaded
....mesh BOX251 loaded
....mesh PLANE50 loaded
....mesh BOX250 loaded
....mesh BOX184 loaded
....mesh BOX183 loaded
....mesh BOX182 loaded
....mesh BOX181 loaded
....mesh BOX180 loaded
....mesh PLANE36 loaded
....mesh BOX179 loaded
....mesh BOX178 loaded
....mesh BOX177 loaded
....mesh BOX176 loaded
....mesh PLANE35 loaded
....mesh BOX175 loaded
....mesh BOX174 loaded
....mesh BOX173 loaded
....mesh BOX172 loaded
....mesh BOX171 loaded
....mesh PLANE34 loaded
....mesh BOX170 loaded
....mesh BOX169 loaded
....mesh BOX168 loaded
....mesh BOX167 loaded
....mesh BOX166 loaded
....mesh BOX165 loaded
....mesh PLANE33 loaded
....mesh BOX164 loaded
....mesh BOX163 loaded
....mesh BOX162 loaded
....mesh BOX161 loaded
....mesh BOX160 loaded
....mesh PLANE32 loaded
....mesh BOX154 loaded
....mesh BOX153 loaded
....mesh BOX152 loaded
....mesh BOX151 loaded
....mesh BOX150 loaded
....mesh PLANE30 loaded
....mesh BOX149 loaded
....mesh BOX148 loaded
....mesh BOX147 loaded
....mesh BOX146 loaded
....mesh BOX145 loaded
....mesh PLANE29 loaded
....mesh BOX144 loaded
....mesh BOX143 loaded
....mesh BOX142 loaded
....mesh PLANE28 loaded
....mesh BOX141 loaded
....mesh BOX140 loaded
....mesh BOX139 loaded
....mesh BOX138 loaded
....mesh BOX137 loaded
....mesh BOX136 loaded
....mesh PLANE27 loaded
....mesh BOX135 loaded
....mesh BOX92 loaded
....mesh BOX91 loaded
....mesh BOX90 loaded
....mesh BOX89 loaded
....mesh BOX88 loaded
....mesh PLANE18 loaded
....mesh BOX77 loaded
....mesh BOX76 loaded
....mesh BOX75 loaded
....mesh BOX74 loaded
....mesh BOX73 loaded
....mesh PLANE15 loaded
....camera CAMERA01 loaded
....target CAMERA01.TARGET loaded
....mesh NIEBO loaded
....keyframer of mesh ZIEMIA loaded
....keyframer of mesh ZIEMIAA loaded
....keyframer of mesh ZIEMIAA01 loaded
....keyframer of mesh KRZAK01 loaded
....keyframer of mesh DONICA loaded
....keyframer of mesh KRZAK02 loaded
....keyframer of mesh DONICA01 loaded
....keyframer of mesh KRZAK03 loaded
....keyframer of mesh DONICA02 loaded
....keyframer of mesh KRZAK05 loaded
....keyframer of mesh DONICA04 loaded
....keyframer of mesh KRZAK06 loaded
....keyframer of mesh DONICA05 loaded
....keyframer of mesh KRZAK07 loaded
....keyframer of mesh DONICA06 loaded
....keyframer of mesh KRZAK08 loaded
....keyframer of mesh DONICA07 loaded
....keyframer of mesh KRZAK09 loaded
